DEBUG 2018-09-18 11:00:36,781 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-09-18 11:00:36,781 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-09-18 11:00:36,781 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT VERSION(); args=None
DEBUG 2018-09-18 11:00:36,875 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-09-18 11:00:36,875 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SHOW FULL TABLES; args=None
DEBUG 2018-09-18 11:00:36,875 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2018-09-18 11:00:52,515 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.016) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-09-18 11:00:52,515 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-09-18 11:00:52,515 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@sql_mode; args=None
DEBUG 2018-09-18 11:00:52,515 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT VERSION(); args=None
DEBUG 2018-09-18 11:00:52,593 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SHOW FULL TABLES; args=None
DEBUG 2018-09-18 11:00:52,593 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2018-09-18 11:00:52,593 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SHOW FULL TABLES; args=None
DEBUG 2018-09-18 11:00:52,593 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2018-09-18 11:00:52,609 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SHOW FULL TABLES; args=None
DEBUG 2018-09-18 11:00:52,609 E:\rfidstation_env\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 124: CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
DEBUG 2018-09-18 11:00:52,640 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.031) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
DEBUG 2018-09-18 11:02:02,718 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-09-18 11:02:02,718 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-09-18 11:02:02,718 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@sql_mode; args=None
DEBUG 2018-09-18 11:02:02,734 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT VERSION(); args=None
DEBUG 2018-09-18 11:02:02,812 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.016) SHOW FULL TABLES; args=None
DEBUG 2018-09-18 11:02:02,812 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2018-09-18 11:02:02,812 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SHOW FULL TABLES; args=None
DEBUG 2018-09-18 11:02:02,812 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2018-09-18 11:02:02,812 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SHOW FULL TABLES; args=None
DEBUG 2018-09-18 11:02:02,828 E:\rfidstation_env\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 124: CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
DEBUG 2018-09-18 11:02:02,828 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
DEBUG 2018-09-18 11:15:14,109 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-09-18 11:15:14,109 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-09-18 11:15:14,109 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT VERSION(); args=None
DEBUG 2018-09-18 11:15:14,187 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-09-18 11:15:14,187 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SHOW FULL TABLES; args=None
DEBUG 2018-09-18 11:15:14,187 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2018-09-18 11:15:20,234 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2018-09-18 11:15:20,234 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
DEBUG 2018-09-18 11:15:20,234 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@sql_mode; args=None
DEBUG 2018-09-18 11:15:20,234 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT VERSION(); args=None
DEBUG 2018-09-18 11:15:20,312 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SHOW FULL TABLES; args=None
DEBUG 2018-09-18 11:15:20,328 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2018-09-18 11:15:20,328 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SHOW FULL TABLES; args=None
DEBUG 2018-09-18 11:15:20,328 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2018-09-18 11:15:20,328 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SHOW FULL TABLES; args=None
DEBUG 2018-09-18 11:15:20,328 E:\rfidstation_env\lib\site-packages\django\db\backends\base\schema.py schema.py schema execute 124: CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
DEBUG 2018-09-18 11:15:20,328 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
DEBUG 2018-09-18 11:17:16,828 E:\rfidstation_env\lib\site-packages\django\db\backends\utils.py utils.py utils execute 111: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
